"Dropdown","Dropdown"
"Duplicate","Duplicate"
"Duplicate website tier price customer group and quantity.","Duplicate website tier price customer group and quantity."
"Edit","Edit"
"Edit Attribute Set '%s'","Edit Attribute Set '%s'"
"Edit Product Attribute","Edit Product Attribute"
"Edit Product Attribute ""%s""","Edit Product Attribute ""%s"""
"Edit Search","Edit Search"
"Edit Search '%s'","Edit Search '%s'"
"Email","Email"
"Email Address","Email Address"
"Email Address:","Email Address:"
"Email to a Friend","Email to a Friend"
"Email:","Email:"
"Empty","Empty"
"Enabled","Enabled"
"Entity collection is expected","Entity collection is expected"
"Error during retrieval of option value: %s","Error during retrieval of option value: %s"
"Error while adding customers for %s alert. Message: %s","Error while adding customers for %s alert. Message: %s"
"Error while saving this group. Group with the same name already exists.","Error while saving this group. Group with the same name already exists."
"Error while saving this group. Please try again later.","Error while saving this group. Please try again later."
"Exclude","Exclude"
"Failed","Failed"
"Failed to move file: %s","Failed to move file: %s"
"Feature Products","Feature Products"
"Filter model name must be declared","Filter model name must be declared"
"Filter must be as object. Set correct filter please","Filter must be as object. Set correct filter please"
"Filterable (no results)","Filterable (no results)"
"Filterable (with results)","Filterable (with results)"
"Filters must be as array","Filters must be as array"
"First Name","First Name"
"Fixed","Fixed"
"For internal use. Must be unique with no spaces","For internal use. Must be unique with no spaces"
"Frontend","Frontend"
"Frontend Model","Frontend Model"
"Frontend Properties","Frontend Properties"
"Gallery","Gallery"
"General Information","General Information"
"Global","Global"
"Globally Editable","Globally Editable"
"Go to Home Page","Go to Home Page"
"Grid","Grid"
"Grouped Product","Grouped Product"
"Groups","Groups"
"Home","Home"
"ID","ID"
"If you do not specify an option value for a store then the default value will be used.","If you do not specify an option value for a store then the default value will be used."
"Image","Image"
"Image file not found","Image file not found"
"Image not exists","Image not exists"
"Image type and information need to be specified for each store view.","Image type and information need to be specified for each store view."
"In Stock","In Stock"
"In stock","In stock"
"Input Validation for Store Owner","Input Validation for Store Owner"
"Integer","Integer"
"Integer Number","Integer Number"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Invalid attribute option specified for attribute %s (%s), skipping the record"
"Invalid attribute set specified, skipping the record","Invalid attribute set specified, skipping the record"
"Invalid block: %s","Invalid block: %s"
"Invalid category IDs","Invalid category IDs"
"Invalid image file type","Invalid image file type"
"Invalid option id specified for %s (%s), skipping the record","Invalid option id specified for %s (%s), skipping the record"
"Invalid product type specified, skipping the record","Invalid product type specified, skipping the record"
"Invalid store specified","Invalid store specified"
"Invalid store specified, skipping the record","Invalid store specified, skipping the record"
"Inventory","Inventory"
"Is Default","Is Default"
"Items %s to %s of %s total","Items %s to %s of %s total"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store."
"Kamper state-of-art Extra Comfort runners","Kamper state-of-art Extra Comfort runners"
"Label","Label"
"Last Name","Last Name"
"Last Notification","Last Notification"
"Learn More","Learn More"
"Letters","Letters"
"Letters(a-zA-Z) or Numbers(0-9)","Letters(a-zA-Z) or Numbers(0-9)"
"Line %d, Email: %s","Line %d, Email: %s"
"Line %d, SKU: %s","Line %d, SKU: %s"
"List","List"
"List Mode","List Mode"
"Manage Attribute Sets","Manage Attribute Sets"
"Manage Attributes","Manage Attributes"
"Manage Catalog Categories","Manage Catalog Categories"
"Manage Categories","Manage Categories"
"Manage Label / Options","Manage Label / Options"
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
"Manage Product Attributes","Manage Product Attributes"
"Manage Product Sets","Manage Product Sets"
"Manage Products","Manage Products"
"Manage Ratings","Manage Ratings"
"Manage Titles (Size, Color, etc.)","Manage Titles (Size, Color, etc.)"
"Maximum %d email addresses allowed.","Maximum %d email addresses allowed."
"Maximum Qty Allowed in Shopping Cart","Maximum Qty Allowed in Shopping Cart"
"Media Image","Media Image"
"Message:","Message:"
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Allowed in Shopping Cart"
"Minimum Qty for Item\'s Status to be Out of Stock","Minimum Qty for Item\'s Status to be Out of Stock"
"Missing SKU, skipping the record","Missing SKU, skipping the record"
"More Views","More Views"
"Multiple Select","Multiple Select"
"Name","Name"
"Name In %s","Name In %s"
"Name:","Name:"
"Name<br/>(For internal use)","Name<br/>(For internal use)"
"New Category","New Category"
"New Product","New Product"
"New Product Attribute","New Product Attribute"
"New Products","New Products"
"New Search","New Search"
"New Set Name","New Set Name"
"Next","Next"
"No","No"
"No image","No image"
"No layout updates","No layout updates"
"No options of this product are available.","No options of this product are available."
"No product collections found","No product collections found"
"None","None"
"Not shared with other products","Not shared with other products"
"Notify Low Stock RSS","Notify Low Stock RSS"
"Notify for Quantity Below","Notify for Quantity Below"
"Nowhere","Nowhere"
"Number of Uses","Number of Uses"
"Number of results<br/>(For last time placed)","Number of results<br/>(For last time placed)"
"OR","OR"
"Old Price:","Old Price:"
"Option","Option"
"Option:","Option:"
"Options","Options"
"Options Control","Options Control"
"Options is required","Options is required"
"Out of Stock","Out of Stock"
"Out of stock","Out of stock"
"Out of stock.","Out of stock."
"Page Title Separator","Page Title Separator"
"Page:","Page:"
"Panasoic HDC-SD1 High Definition Camcorder","Panasoic HDC-SD1 High Definition Camcorder"
"Parent Category","Parent Category"
"Pending","Pending"
"Pending Reviews","Pending Reviews"
"Pending Reviews RSS","Pending Reviews RSS"
"Percentage","Percentage"
"Please add one or more options","Please add one or more options"
"Please click on Close Window button if it won\'t be closed automatically","Please click on Close Window button if it won\'t be closed automatically"
"Please enter a new group name","Please enter a new group name"
"Please select one or more attributes.","Please select one or more attributes."
"Please select product(s)","Please select product(s)"
"Please select products for attributes update","Please select products for attributes update"
"Please select static block ...","Please select static block ..."
"Position","Position"
"Position In Layered Navigation","Position In Layered Navigation"
"Position of attribute in layered navigation block","Position of attribute in layered navigation block"
"Prev","Prev"
"Previous","Previous"
"Price","Price"
"Price values for options should be specified in system base currency.","Price values for options should be specified in system base currency."
"Price:","Price:"
"Print This Page","Print This Page"
"Problem saving the collection, aborting. Error: %s","Problem saving the collection, aborting. Error: %s"
"Product %s successfully added to compare list","Product %s successfully added to compare list"
"Product %s successfully removed from compare list","Product %s successfully removed from compare list"
"Product Alerts","Product Alerts"
"Product Attribute","Product Attribute"
"Product Attribute Sets","Product Attribute Sets"
"Product Attribute Specs","Product Attribute Specs"
"Product Attributes","Product Attributes"
"Product Categories","Product Categories"
"Product Description","Product Description"
"Product In Websites","Product In Websites"
"Product Information","Product Information"
"Product Name","Product Name"
"Product Options","Product Options"
"Product Reviews","Product Reviews"
"Product Tags","Product Tags"
"Product Type","Product Type"
"Product URL Suffix (cache refresh needed)","Product URL Suffix (cache refresh needed)"
"Product attribute was successfully deleted","Product attribute was successfully deleted"
"Product attribute was successfully saved","Product attribute was successfully saved"
"Product collection expected","Product collection expected"
"Product deleted","Product deleted"
"Product duplicated","Product duplicated"
"Product saving error.","Product saving error."
"Product was successfully created.","Product was successfully created."
"Product was successfully saved.","Product was successfully saved."
"Product with this combination of attributes already associated to configurable.","Product with this combination of attributes already associated to configurable."
"Products","Products"
"Products Information","Products Information"
"Products Reviews","Products Reviews"
"Products only","Products only"
"Products per Page on Grid","Products per Page on Grid"
"Products per Page on List","Products per Page on List"
"Properties","Properties"
"Qty","Qty"
"Qty Uses Decimals","Qty Uses Decimals"
"Quick Create","Quick Create"
"Quick Overview","Quick Overview"
"Quick simple product creation","Quick simple product creation"
"Recipient:","Recipient:"
"Records for ""","Records for """
"Redirect","Redirect"
"Redirect URL","Redirect URL"
"Regular Price:","Regular Price:"
"Related Products","Related Products"
"Remove","Remove"
"Remove Email","Remove Email"
"Remove Product","Remove Product"
"Remove This Item","Remove This Item"
"Required","Required"
"Reset","Reset"
"Results","Results"
"Review successfully deleted","Review successfully deleted"
"Review was saved successfully","Review was saved successfully"
"Review was successfully saved","Review was successfully saved"
"Reviews","Reviews"
"Reviews and Ratings","Reviews and Ratings"
"Roll Over for preview","Roll Over for preview"
"Root","Root"
"SKU","SKU"
"Sandra Mashiso Red Business shoes","Sandra Mashiso Red Business shoes"
"Save","Save"
"Save And Continue Edit","Save And Continue Edit"
"Save Attribute","Save Attribute"
"Save Attribute Set","Save Attribute Set"
"Save Category","Save Category"
"Save Search","Save Search"
"Saved ","Saved "
"Scope","Scope"
"Search","Search"
"Search Engine Optimizations","Search Engine Optimizations"
"Search Information","Search Information"
"Search Query","Search Query"
"Search Term was successfully saved","Search Term was successfully saved"
"Search Term with such search query already exist.","Search Term with such search query already exist."
"Search was successfully deleted","Search was successfully deleted"
"Searchable","Searchable"
"See all %s","See all %s"
"Select Configurable Attributes ","Select Configurable Attributes "
"Selected Product Types","Selected Product Types"
"Send Count","Send Count"
"Send email","Send email"
"Sender:","Sender:"
"Set Ascending Direction","Set Ascending Direction"
"Set Descending Direction","Set Descending Direction"
"Set Name","Set Name"
"Set Root Category For Store","Set Root Category For Store"
"Set root category for this store in the <a href=""%s"">configuration</a>","Set root category for this store in the <a href=""%s"">configuration</a>"
"Settings","Settings"
"Shop by","Shop by"
"Shopping Options","Shopping Options"
"Show","Show"
"Simple Product","Simple Product"
"Skip import row, is not valid value ""%s"" for field ""%s""","Skip import row, is not valid value ""%s"" for field ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Skip import row, required field ""%s"" for new customer not defined"
"Skip import row, required field ""%s"" for new products not defined","Skip import row, required field ""%s"" for new products not defined"
"Skip import row, required field ""%s"" not defined","Skip import row, required field ""%s"" not defined"
"Skip import row, store ""%s"" field not exists","Skip import row, store ""%s"" field not exists"
"Sort Order","Sort Order"
"Sort by","Sort by"
"Source Model","Source Model"
"Special Price","Special Price"
"Special Price:","Special Price:"
"Starting at:","Starting at:"
"Static","Static"
"Static block and products","Static block and products"
"Static block only","Static block only"
"Status","Status"
"Stock Availability","Stock Availability"
"Store","Store"
"Store View","Store View"
"Stretch","Stretch"
"Subscribe to Feed","Subscribe to Feed"
"Subscribe to RSS Feed","Subscribe to RSS Feed"
"Super product attributes configuration","Super product attributes configuration"
"Synonym For","Synonym For"
"Synonym for","Synonym for"
"System","System"
"System Properties","System Properties"
"Tag Name","Tag Name"
"Text","Text"
"Text Area","Text Area"
"Text Field","Text Field"
"The information in this tab has been changed.","The information in this tab has been changed."
"There are no %s available.","There are no %s available."
"There are no customers for this alert","There are no customers for this alert"
"There are no products matching the selection.","There are no products matching the selection."
"There is %d product(s) that will be not updated for selected store","There is %d product(s) that will be not updated for selected store"
"There was an error while updating product(s) attributes","There was an error while updating product(s) attributes"
"This attribute no longer exists","This attribute no longer exists"
"This bundle is out of stock.","This bundle is out of stock."
"This group contains system attributes. Please move system attributes to another group and try again.","This group contains system attributes. Please move system attributes to another group and try again."
"This search no longer exists","This search no longer exists"
"This tab contains invalid data. Please solve the problem before saving.","This tab contains invalid data. Please solve the problem before saving."
"Tier Pricing","Tier Pricing"
"Tile","Tile"
"Top/Left","Top/Left"
"Top/Right","Top/Right"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Type","Type"
"Unable to complete request. Please try again later.","Unable to complete request. Please try again later."
"Unable to find a search term to delete","Unable to find a search term to delete"
"Unable to find an attribute to delete","Unable to find an attribute to delete"
"Unable to get product id.","Unable to get product id."
"Unassigned Attributes","Unassigned Attributes"
"Unique Value","Unique Value"
"Unique Value (not shared with other products)","Unique Value (not shared with other products)"
"Unknown attribute: %s","Unknown attribute: %s"
"Up-sells","Up-sells"
"Update attributes","Update attributes"
"Url","Url"
"Url Rewrite Management","Url Rewrite Management"
"Use Config Settings","Use Config Settings"
"Use Default Value","Use Default Value"
"Use In Layered Navigation","Use In Layered Navigation"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')"
"Use To Create Configurable Product","Use To Create Configurable Product"
"Use categories path for product URLs","Use categories path for product URLs"
"Use in advanced search","Use in advanced search"
"Use in quick search","Use in quick search"
"Values Required","Values Required"
"Varchar","Varchar"
"View Details","View Details"
"View as","View as"
"Visibility","Visibility"
"Visible","Visible"
"Visible on Catalog Pages on Front-end","Visible on Catalog Pages on Front-end"
"Watermark","Watermark"
"Watermark Default Size","Watermark Default Size"
"Watermark Position","Watermark Position"
"Website","Website"
"Websites","Websites"
"Yes","Yes"
"Yes/No","Yes/No"
"You cannot delete this attribute","You cannot delete this attribute"
"You cannot edit this attribute","You cannot edit this attribute"
"You cannot remove system attribute from this set.","You cannot remove system attribute from this set."
"You cannot update this attribute","You cannot update this attribute"
"You have no items to compare.","You have no items to compare."
"You may also be interested in the following product(s)","You may also be interested in the following product(s)"
"Zoom In","Zoom In"
"Zoom Out","Zoom Out"
"Zynicon Cinema Display 19-inch LCD monitor","Zynicon Cinema Display 19-inch LCD monitor"
"Zynicon Clear Blue 24-inch LCD monitor","Zynicon Clear Blue 24-inch LCD monitor"
"[GLOBAL]","[GLOBAL]"
"and","and"
"and above","and above"
"ex. http://domain.com","ex. http://domain.com"
"per page","per page"
"save %s%%","save %s%%"
"select all","select all"
"unselect all","unselect all"
