"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006."
"Please wait, loading...","Please wait, loading..."
"Please wait...","Please wait..."
"Please, add a few answers to this poll first","Please, add a few answers to this poll first"
"Please, select visible in stores to this poll first","Please, select visible in stores to this poll first"
"Poll Manager","Poll Manager"
"Poll was successfully deleted","Poll was successfully deleted"
"Poll was successfully saved","Poll was successfully saved"
"Position of Watermark for %s","Position of Watermark for %s"
"Preferred state","Preferred state"
"Preparing to change $pkg, please wait...","Preparing to change $pkg, please wait..."
"Preview","Preview"
"Preview Template","Preview Template"
"Previous page","Previous page"
"Price","Price"
"Price alert subscription was saved successfully","Price alert subscription was saved successfully"
"Price:","Price:"
"Primary Billing Address","Primary Billing Address"
"Processed <strong>%s%% %s/%d</strong> records","Processed <strong>%s%% %s/%d</strong> records"
"Product","Product"
"Product Categories","Product Categories"
"Product Thumbnail Itself","Product Thumbnail Itself"
"Products","Products"
"Profile Actions XML","Profile Actions XML"
"Profile Direction","Profile Direction"
"Profile History","Profile History"
"Profile Information","Profile Information"
"Profile Name","Profile Name"
"Profile Wizard","Profile Wizard"
"Profile was deleted","Profile was deleted"
"Profile was successfully saved","Profile was successfully saved"
"Profiles","Profiles"
"Promo","Promo"
"Promotions","Promotions"
"Provided Files","Provided Files"
"Qty","Qty"
"Quantity","Quantity"
"Rates","Rates"
"Rating was successfully deleted","Rating was successfully deleted"
"Rating was successfully saved","Rating was successfully saved"
"Ratings","Ratings"
"Recent Orders","Recent Orders"
"Recommended","Recommended"
"Redirect","Redirect"
"Refresh","Refresh"
"Region/State","Region/State"
"Release","Release"
"Release Info","Release Info"
"Release Stability","Release Stability"
"Release Version","Release Version"
"Remote Extension Info","Remote Extension Info"
"Remote FTP","Remote FTP"
"Remote URL:","Remote URL:"
"Remove","Remove"
"Reports","Reports"
"Request Path","Request Path"
"Required","Required"
"Reset","Reset"
"Reset Filter","Reset Filter"
"Resize","Resize"
"Resource Access","Resource Access"
"Resources","Resources"
"Results","Results"
"Retrieve Password","Retrieve Password"
"Return Html Version","Return Html Version"
"Revenue","Revenue"
"Role","Role"
"Role ID","Role ID"
"Role Info","Role Info"
"Role Information","Role Information"
"Role Name","Role Name"
"Role Resources","Role Resources"
"Role Users","Role Users"
"Role successfully deleted.","Role successfully deleted."
"Role successfully saved.","Role successfully saved."
"Roles","Roles"
"Roles Resources","Roles Resources"
"Rotate CCW","Rotate CCW"
"Rotate CW","Rotate CW"
"Run Profile","Run Profile"
"Run Profile In Popup","Run Profile In Popup"
"Run Profile Inside This Window","Run Profile Inside This Window"
"Run in popup","Run in popup"
"Running:","Running:"
"SKU","SKU"
"SKU:","SKU:"
"SSL Error: Invalid or self-signed sertificate","SSL Error: Invalid or self-signed sertificate"
"Sales Report","Sales Report"
"Save","Save"
"Save Account","Save Account"
"Save And Continue Edit","Save And Continue Edit"
"Save Config","Save Config"
"Save Currency Rates","Save Currency Rates"
"Save PEAR Config","Save PEAR Config"
"Save Profile","Save Profile"
"Save Role","Save Role"
"Save Sitemap","Save Sitemap"
"Save Template","Save Template"
"Save Url","Save Url"
"Save User","Save User"
"Save and Continue Editing","Save and Continue Editing"
"Save cache settings","Save cache settings"
"Save data and Create Package","Save data and Create Package"
"Search","Search"
"Search Term","Search Term"
"Search Terms","Search Terms"
"Select All","Select All"
"Select Date","Select Date"
"Select Range","Select Range"
"Select Visible","Select Visible"
"Sender","Sender"
"Shipment #%s comment added","Shipment #%s comment added"
"Shipment #%s created","Shipment #%s created"
"Shipment Comments","Shipment Comments"
"Shipment History","Shipment History"
"Shipping","Shipping"
"Shipping Address","Shipping Address"
"Shipping Price","Shipping Price"
"Shipping address","Shipping address"
"Shipping method must be specified","Shipping method must be specified"
"Shipping origin","Shipping origin"
"Show Report for","Show Report for"
"Show by","Show by"
"Sitemap Information","Sitemap Information"
"Size for %s","Size for %s"
"Some of the ordered items don\'t exist in the catalog anymore and will be removed if you try to edit the order.","Some of the ordered items don\'t exist in the catalog anymore and will be removed if you try to edit the order."
"Sorry, this feature is coming soon...","Sorry, this feature is coming soon..."
"Sort Order","Sort Order"
"Specific Countries","Specific Countries"
"Spreadsheet Name:","Spreadsheet Name:"
"Stability","Stability"
"Start Date","Start Date"
"Starting profile execution, please wait...","Starting profile execution, please wait..."
"State/Province:","State/Province:"
"Status","Status"
"Status:","Status:"
"Stock Quantity:","Stock Quantity:"
"Stock notification was saved successfully","Stock notification was saved successfully"
"Store","Store"
"Store View","Store View"
"Store Views","Store Views"
"Store:","Store:"
"Stores","Stores"
"Subject","Subject"
"Submit","Submit"
"Subpackage","Subpackage"
"Subpackage can't be conflicting","Subpackage can't be conflicting"
"Subpackages","Subpackages"
"Subtotal","Subtotal"
"Subtotal Amount","Subtotal Amount"
"Summary","Summary"
"Summary:","Summary:"
"Switch/Solo Only","Switch/Solo Only"
"Switch/Solo card issue number: %s","Switch/Solo card issue number: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo card start Date: %s/%s"
"System","System"
"Tag was successfully deleted","Tag was successfully deleted"
"Tag was successfully saved","Tag was successfully saved"
"Tags","Tags"
"Target Path","Target Path"
"Tax","Tax"
"Tb","Tb"
"Template","Template"
"Template Content","Template Content"
"Template Information","Template Information"
"Template Name","Template Name"
"Template Subject","Template Subject"
"Template Type","Template Type"
"The information in this tab has been changed.","The information in this tab has been changed."
"The new password have sent to your email address. Please check your email and click back to login.","The new password have sent to your email address. Please check your email and click back to login."
"This account is","This account is"
"This attribute set don\'t have attributes which we can use for configurable product","This attribute set don\'t have attributes which we can use for configurable product"
"This attribute shares the same value in all the stores","This attribute shares the same value in all the stores"
"This is a required field.","This is a required field."
"This tab contains invalid data. Please solve the problem before saving.","This tab contains invalid data. Please solve the problem before saving."
"This user no longer exists","This user no longer exists"
"Thumbnail","Thumbnail"
"To","To"
"Toggle Editor","Toggle Editor"
"Tools","Tools"
"Top 5 Search Terms","Top 5 Search Terms"
"Total","Total"
"Total %d records found","Total %d records found"
"Total Amount","Total Amount"
"Total Invoiced","Total Invoiced"
"Total Order Amount","Total Order Amount"
"Total Refunded","Total Refunded"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Track the order","Track the order"
"Track this shipment","Track this shipment"
"Tracking number %s for %s assigned","Tracking number %s for %s assigned"
"Transactional Emails","Transactional Emails"
"Type","Type"
"Type:","Type:"
"Unable to find a poll to delete","Unable to find a poll to delete"
"Unable to find a tag to delete","Unable to find a tag to delete"
"Unable to find a user to delete","Unable to find a user to delete"
"Unable to get product id.","Unable to get product id."
"Unable to initialize import model","Unable to initialize import model"
"Uninstall","Uninstall"
"Uninstalling $pkg, please wait...","Uninstalling $pkg, please wait..."
"Uninstalling selected packages, please wait...","Uninstalling selected packages, please wait..."
"Unknown","Unknown"
"Unknown error","Unknown error"
"Unselect All","Unselect All"
"Unselect Visible","Unselect Visible"
"Updated At","Updated At"
"Upgrade","Upgrade"
"Upgrade All Available Packages","Upgrade All Available Packages"
"Upgrade all available packages","Upgrade all available packages"
"Upgrade all packages","Upgrade all packages"
"Upgrading $pkg, please wait...","Upgrading $pkg, please wait..."
"Upgrading all available packages, please wait...","Upgrading all available packages, please wait..."
"Upgrading all packages, please wait...","Upgrading all packages, please wait..."
"Upgrading selected packages, please wait...","Upgrading selected packages, please wait..."
"Upload File","Upload File"
"Upload Files","Upload Files"
"Upload HTTP Error","Upload HTTP Error"
"Upload I/O Error","Upload I/O Error"
"Upload Local File","Upload Local File"
"Upload Security Error","Upload Security Error"
"Upload and Install","Upload and Install"
"Upload import file","Upload import file"
"Upload local file:","Upload local file:"
"Urlrewrite was deleted","Urlrewrite was deleted"
"Urlrewrite was successfully saved","Urlrewrite was successfully saved"
"Use Default Value","Use Default Value"
"Use default","Use default"
"Use website","Use website"
"User","User"
"User Email","User Email"
"User ID","User ID"
"User Info","User Info"
"User Information","User Information"
"User Name","User Name"
"User Name:","User Name:"
"User Role","User Role"
"User Roles","User Roles"
"User Roles Information","User Roles Information"
"User name","User name"
"User was successfully deleted","User was successfully deleted"
"User was successfully saved","User was successfully saved"
"User with the same User Name or Email aleady exists","User with the same User Name or Email aleady exists"
"Users","Users"
"Value Delimiter:","Value Delimiter:"
"Version","Version"
"Version:","Version:"
"View","View"
"View Actions XML","View Actions XML"
"View Statistics for","View Statistics for"
"Visibility:","Visibility:"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?"
"Warning: Please don't close window during importing/exporting data","Warning: Please don't close window during importing/exporting data"
"Watermark File for %s","Watermark File for %s"
"We\'re in our typing table, coding away more features for Magento. Thank you for your patience.","We\'re in our typing table, coding away more features for Magento. Thank you for your patience."
"Website","Website"
"What is this?","What is this?"
"Wishlist Report","Wishlist Report"
"Wrong column format","Wrong column format"
"Wrong tab configuration","Wrong tab configuration"
"XML","XML"
"YTD","YTD"
"Yes","Yes"
"Yes (only price with tax)","Yes (only price with tax)"
"You can not delete self assigned roles.","You can not delete self assigned roles."
"You cannot delete account of yourself","You cannot delete account of yourself"
"You have not enought permissions to login.","You have not enought permissions to login."
"You have not enought permissions to use this functionality.","You have not enought permissions to use this functionality."
"You need specify order items","You need specify order items"
"You successfully logged out.","You successfully logged out."
"Your Account has been deactivated.","Your Account has been deactivated."
"Your answers contain duplicates.","Your answers contain duplicates."
"Zip/Postal Code","Zip/Postal Code"
"Zip/Postal Code:","Zip/Postal Code:"
"[ deleted ]","[ deleted ]"
"[deleted]","[deleted]"
"b","b"
"images/logo.gif","images/logo.gif"
"items selected","items selected"
"md5sum","md5sum"
"of %s pages","of %s pages"
"per page","per page"
"store(%s) scope","store(%s) scope"
"to","to"
"website(%s) scope","website(%s) scope"
